                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8932,                 4.1063,                 1.6271,                0.00963,                0.50877,                0.01786,                0.00846,                 1.7716,                 4.0912,                 1.5428,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.8021,                 4.0256,                 1.6547,                0.00926,                0.45322,                0.02298,                0.01326,                 1.7282,                 4.0699,                 1.4924,             8.6922e-05,             8.6922e-05,             8.6922e-05
                      3,                 1.6605,                 3.9125,                 1.5484,                0.01151,                0.47223,                0.13541,                 0.0713,                 1.6904,                 3.9784,                 1.3843,             0.00013568,             0.00013568,             0.00013568
                      4,                 1.5172,                 3.6753,                 1.3494,                0.01262,                0.51901,                0.14485,                0.08153,                  1.634,                 3.8912,                 1.3327,             0.00018379,             0.00018379,             0.00018379
                      5,                 1.3827,                 3.2199,                 1.2708,                0.01321,                0.53509,                0.13403,                0.07919,                 1.6096,                 3.8299,                  1.322,             0.00023123,             0.00023123,             0.00023123
                      6,                 1.5559,                 3.1509,                 1.2776,                0.01295,                0.53509,                0.15433,                0.09187,                 1.6134,                 3.7237,                 1.3318,             0.00027801,             0.00027801,             0.00027801
                      7,                 1.4683,                 2.8368,                 1.2421,                0.03335,                0.63784,                0.24424,                0.14159,                 1.6565,                  3.613,                 1.3719,             0.00032413,             0.00032413,             0.00032413
                      8,                 1.5268,                 2.7176,                 1.2738,                0.03818,                0.65403,                  0.261,                0.13547,                 1.6843,                 3.5728,                 1.4123,              0.0003696,              0.0003696,              0.0003696
                      9,                 1.5148,                 2.8294,                 1.3279,                0.41435,                0.30139,                0.26397,                0.14133,                 1.7136,                 3.4246,                 1.4248,              0.0004144,              0.0004144,              0.0004144
                     10,                 1.3339,                 2.3893,                 1.1974,                0.57523,                0.09197,                0.27825,                0.14999,                 1.7804,                 3.3263,                 1.4741,             0.00045854,             0.00045854,             0.00045854
