                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1134,                 4.0924,                 1.6907,                0.00993,                0.51754,                0.01878,                0.00902,                 1.7971,                 4.0869,                 1.5529,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.7231,                 4.0293,                 1.6452,                0.01054,                0.47076,                 0.0849,                0.05555,                 1.7292,                  4.063,                 1.5147,             8.6922e-05,             8.6922e-05,             8.6922e-05
                      3,                 1.6303,                 3.8966,                 1.5406,                0.00831,                0.41813,                0.11659,                0.07204,                 1.6838,                 4.0303,                 1.4725,             0.00013568,             0.00013568,             0.00013568
                      4,                 1.6396,                 3.6932,                 1.3379,                0.01181,                0.45032,                0.11984,                0.07159,                 1.7101,                  3.967,                 1.4859,             0.00018379,             0.00018379,             0.00018379
                      5,                  1.648,                 3.4446,                 1.3937,                0.01233,                0.51318,                0.16411,                0.09643,                 1.6984,                  3.907,                 1.4766,             0.00023123,             0.00023123,             0.00023123
                      6,                 1.5258,                 3.2024,                 1.3242,                 0.0131,                0.52778,                0.20731,                0.12923,                 1.7361,                 3.8132,                 1.4841,             0.00027801,             0.00027801,             0.00027801
                      7,                 1.7538,                 2.6907,                 1.3737,                0.02771,                0.59966,                0.23385,                0.14272,                 1.7814,                 3.6788,                 1.4931,             0.00032413,             0.00032413,             0.00032413
                      8,                  1.419,                 2.4083,                 1.2583,                0.92197,                0.11679,                0.36995,                0.22009,                 1.6816,                 3.2735,                 1.3814,              0.0003696,              0.0003696,              0.0003696
                      9,                 1.5267,                 2.3165,                 1.2767,                0.51349,                 0.1587,                0.40828,                0.22447,                 1.7169,                 2.7207,                 1.3859,              0.0004144,              0.0004144,              0.0004144
                     10,                 1.4864,                 2.0421,                 1.2504,                0.43218,                 0.2433,                0.36243,                0.18856,                 1.7186,                 2.5114,                 1.4107,             0.00045854,             0.00045854,             0.00045854
                     11,                 1.5034,                 2.4312,                 1.2835,                0.37797,                0.37508,                0.43153,                0.23321,                  1.781,                 2.3877,                 1.4744,             0.00050203,             0.00050203,             0.00050203
                     12,                 1.4972,                  2.077,                 1.2409,                0.50252,                0.34439,                0.42803,                0.24079,                 1.8475,                  2.144,                 1.5324,             0.00054485,             0.00054485,             0.00054485
                     13,                 1.4166,                 2.0468,                 1.2316,                0.30394,                0.55835,                0.35853,                0.18198,                 1.9071,                 1.9767,                 1.5771,             0.00058701,             0.00058701,             0.00058701
                     14,                  1.409,                 2.0032,                 1.1949,                0.32904,                0.49335,                0.35481,                 0.1793,                  1.859,                 1.9242,                   1.53,             0.00062851,             0.00062851,             0.00062851
                     15,                 1.3531,                  1.962,                 1.1735,                0.35257,                0.53032,                0.35264,                0.16647,                 1.8208,                 1.9499,                 1.5035,             0.00066935,             0.00066935,             0.00066935
                     16,                 1.4696,                 1.8666,                 1.2347,                0.35394,                0.48874,                0.33749,                0.16091,                 1.8126,                 1.9859,                 1.5017,             0.00070954,             0.00070954,             0.00070954
                     17,                 1.4293,                 1.9755,                 1.2011,                0.31703,                0.44534,                0.34877,                0.16338,                  1.851,                 1.9445,                 1.5446,             0.00074906,             0.00074906,             0.00074906
